imo,vessel_name,gross_tonnage,type,year_build,flag
9354442,DINA TRADER,9981,Container Ship,2007,Gibraltar (GIB)
9356660,DIONYSSIS A,10609,Container Ship,2008,Malta (MLT)
9703069,DOLE ATLANTIC,25669,Container Ship,2016,Bahamas (BHS)
9877731,DOLE AZTEC,28780,Container Ship,2021,Bahamas (BHS)
9703071,DOLE CARIBBEAN,25669,Container Ship,2016,Bahamas (BHS)
9877729,DOLE MAYA,28780,Container Ship,2020,Bahamas (BHS)
9703057,DOLE PACIFIC,25669,Container Ship,2015,Bahamas (BHS)
9318125,DOLPHIN II,54309,Container Ship,2007,Panama (PAN)
9215854,DOM,74310,Container Ship,2001,Palau (Republic of) (PLW)
9215672,DOMINGO,40085,Container Ship,2001,Marshall Islands (MHL)
9315343,DONG CHENG BI HAI,38320,Container Ship,2007,China Peoples's Republic (CHN)
9315355,DONG CHENG HAO HAI,38320,Container Ship,2007,China Peoples's Republic (CHN)
9446893,DONG PENG 58,4090,Container Ship,2004,China Peoples's Republic (CHN)
9714898,DONG RUN 1,28176,Container Ship,2015,China Peoples's Republic (CHN)
9863510,DONG RUN 2,16115,Container Ship,2018,China Peoples's Republic (CHN)
9863455,DONG RUN 3,16115,Container Ship,2018,China Peoples's Republic (CHN)
9863467,DONG RUN 5,16115,Container Ship,2018,China Peoples's Republic (CHN)
9258210,DONG YONG,1510,Container Ship,2001,Sierra leone (SLE)
9360283,DONGJIN AUBE,12679,Container Ship,2005,Korea (Republic of) (KOR)
9704300,DONGJIN ENTERPRISE,9990,Container Ship,2015,Korea (Republic of) (KOR)
9247302,DONGJIN FIDES,7683,Container Ship,2002,Korea (Republic of) (KOR)
9251145,DONGJIN FORTUNE,7683,Container Ship,2002,Korea (Republic of) (KOR)
9385441,DONGJIN HIGHNESS,7170,Container Ship,2007,Korea (Republic of) (KOR)
9615339,DONGJIN VENUS,9598,Container Ship,2011,Korea (Republic of) (KOR)
9802011,DONGJIN VOYAGER,18559,Container Ship,2017,Korea (Republic of) (KOR)
9404065,DORIS SCHEPERS,7852,Container Ship,2007,Portugal (MAR) (PMD)
9845661,DOUCE FRANCE,27571,Container Ship,2020,Malta (MLT)
9322578,DREAM,7852,Container Ship,2006,Portugal (MAR) (PMD)
